record_num,date,month,day,year,barangay,location,latitude,longitude,flood_depth,weather_disturbance,remarks,time_reported,time_subsided
1,,,,2024,,H MAY,14.461084936317045,,gutter,,,,
2,,,,2024,,H MAY Antonio Ave. Level,14.464863417205555,,gutter,,,,
3,,,,2024,,H MAY nd,14.457606753585543,,gutter,,,,
4,,,,2024,,H MAY Antonio Level,14.462469187579913,,knee,,,,
5,,,,2024,,H MAY,14.478585115329807,,chest,,,,
6,,,,2024,,H MAY Level,14.499879060866066,,gutter,,,,
7,,,,2024,,H MAY Bosco Soledad Level,14.486468830290727,,gutter,,,,
8,,,,2024,,H MAY,14.478580473257095,,knee,,,,
9,,,,2024,,H MAY Mendoza Level,14.50957751280398,,gutter,,,,
10,,,,2024,,H MAY,14.461084936317045,,knee,,,,
11,,,,2024,,H MAY Cmpd. Rd. Level,14.465833460136432,,knee,,,,
12,,,,2024,,H MAY,14.490847549002241,,gutter,,,,
13,,,,2024,,H MAY Avenue Level,14.47517951255734,,knee,,,,
14,,,,2024,,H MAY Extension Level,14.496244268459511,,knee,,,,
15,,,,2024,,H MAY Medina Level,14.490847549002241,,gutter,,,,
16,,,,2024,,H MAY,14.481072827464267,,gutter,,,,
17,,,,2024,,H MAY,14.48112178,,gutter,,,,
18,,,,2024,,H MAY Dionisio Level,14.47517951255734,,chest,,,,
19,,,,2024,,H MAY Halik Alon Level,14.498917412564106,,knee,,,,
20,,,,2024,,H MAY Extension Level,14.496244268459511,,knee,,,,
21,,,,2024,,H MAY Cmpd. Rd. Level,14.465833460136432,,knee,,,,
22,,,,2024,,H MAY Mendoza Level,14.50957751280398,,knee,,,,
24,,,,2024,,H JUNE Quirino Ave. Level,14.531476137180539,,knee,,,,
25,,,,2024,,H JUNE Bagong Level,14.531136514380497,,gutter,,,,
26,,,,2024,,H JUNE Street Level,14.531223277759253,,gutter,,,,
27,,,,2024,,H JUNE Street Level,14.531105328894384,,knee,,,,
28,,,,2024,,H JUNE Silang Street Level,14.531733356578126,,gutter,,,,
29,,,,2024,,H JUNE St. Level,14.532359024342465,,gutter,,,,
30,,,,2024,,H JUNE,14.528067997127254,,knee,,,,
31,,,,2024,,H JUNE Pascor Drive Level,14.508762320423763,,knee,,,,
32,,,,2024,,H JUNE Sitio Libjo Level,14.499879060866066,,knee,,,,
33,,,,2024,,H JUNE Road Level,14.498589511798034,,knee,,,,
34,,,,2024,,H JUNE Mendoza Level,14.50957751280398,,waist,,,,
35,,,,2024,,H JUNE Cmpd. Level,14.468809635724792,,gutter,,,,
36,,,,2024,,H JUNE,14.46081616541042,,knee,,,,
37,,,,2024,,H JUNE Bosco Cmpd. Level,14.510492923295597,,gutter,,,,
38,,,,2024,,H JUNE Bosco Guam Street Level,14.4824325212493,,gutter,,,,
39,,,,2024,,H JUNE Bosco Un Spratly Level,14.485388662633744,,gutter,,,,
40,,,,2024,,H JUNE Bosco India Street Level,14.480719527484188,,gutter,,,,
41,,,,2024,,H JUNE Bosco UN cor. USA Level,14.486382261907593,,knee,,,,
42,,,,2024,,H JUNE Extn. Level,14.48644546133539,,gutter,,,,
43,,,,2024,,H JUNE Bosco Street Level,14.483076791479052,,knee,,,,
44,,,,2024,,H JUNE Bosco Ave. Level,14.482874843867062,,gutter,,,,
45,,,,2024,,H JUNE Bosco St. Level,14.483302140315635,,gutter,,,,
46,,,,2024,,H JUNE Egypt Level,14.482209800252452,,knee,,,,
47,,,,2024,,H JUNE of Ben,14.481124921616665,,gutter,,,,
48,,,,2024,,H JUNE Russia St. Level,14.486465975053216,,waist,,,,
49,,,,2024,,H JUNE Carwash Level,14.490522079015351,,knee,,,,
50,,,,2024,,H JUNE,14.489049506470783,,gutter,,,,
51,,,,2024,,H JUNE k Street Level,14.49550011718734,,waist,,,,
52,,,,2024,,H JUNE k Street Level,14.496430813529676,,knee,,,,
53,,,,2024,,H JUNE Batang St. Level,14.49241430874772,,knee,,,,
54,,,,2024,,H JUNE k Purok,14.493823256727966,,knee,,,,
55,,,,2024,,H JUNE,14.461084936317045,,gutter,,,,
56,,,,2024,,H JUNE Valley Drive Level,14.491771105458936,,gutter,,,,
57,,,,2024,,H JUNE Coastal Level,14.503858197230143,,gutter,,,,
58,,,,2024,,H JUNE EM Factor Level,14.507349663762998,,gutter,,,,
59,,,,2024,,H JUNE,14.481985232429098,,gutter,,,,
61,,,,2024,,H JUNE Ruppe Lane Level,14.47623160467984,,waist,,,,
62,,,,2024,,H JUNE Urma Drive Level,14.468809635724792,,gutter,,,,
63,,,,2024,,H JUNE Cmpd. Rd. Level,14.509929413058678,,knee,,,,
64,,,,2024,,H JUNE Bosco Dulo Level,14.479417472626984,,gutter,,,,
65,,,,2024,,H JUNE BrickTown Level,14.509593977286654,,gutter,,,,
66,,,,2024,,H JUNE JetLane Level,14.508723970490719,,gutter,,,,
68,,,,2024,,Subsided as,14.53155728358419,,gutter,,,,
69,,,,2024,,Subsided as,14.530309941215238,,knee,,,,
70,,,,2024,,Subsided as,14.478639088842867,,knee,,,,
71,,,,2024,,a Subsided as,14.479632721715358,,gutter,,,,
72,,,,2024,,Village,14.50699052941328,,gutter,,,,
73,,,,2024,,Near Subsided as,14.49937472920392,,gutter,,,,
74,,,,2024,,Northbound,14.479556620675234,,gutter,,,,
75,,,,2024,,Ibabaw,14.48976955771457,,gutter,,,,
76,,,,2024,,Storm Crising,14.503858197230143,,knee,,,,
77,,,,2024,,Storm Crising,14.496956942857365,,knee,,,,
78,,,,2024,,Storm Crising,14.492459590948577,,gutter,,,,
81,,,,2024,,Storm Crising,14.490862756486042,,gutter,,,,
82,,,,2024,,Storm Crising July,14.490862756486042,,gutter,,,,
83,,,,2024,,Storm Crising,14.48460607,,waist,,,,
84,,,,2024,,Storm Crising,14.48453176,,knee,,,,
85,,,,2024,,Storm Crising,14.48112178,,knee,,,,
86,,,,2024,,Storm Crising,14.481873427205677,,waist,,,,
87,,,,2024,,by Tropical,14.481821724574125,,,,,,
88,,,,2024,,Storm Crising,14.47950542015661,,knee,,,,
89,,,,2024,,Southbound,14.479434295261683,,gutter,,,,
90,,,,2024,,Storm Crising,14.478566255640917,,gutter,,,,
91,,,,2024,,Storm Crising,14.478867685847364,,gutter,,,,
92,,,,2024,,Storm Crising,14.47587354387,,gutter,,,,
93,,,,2024,,Storm Crising,14.475105525510514,,gutter,,,,
94,,,,2024,,by Tropical,14.47390597585322,,gutter,,,,
95,,,,2024,,Storm Crising,14.46949393699516,,gutter,,,,
96,,,,2024,,Storm Crising,14.490862756486042,,gutter,,,,
97,,,,2024,,Storm Crising,14.48460607,,gutter,,,,
98,,,,2024,,Storm Crising,14.48453176,,gutter,,,,
99,,,,2024,,Storm Crising,14.48112178,,gutter,,,,
100,,,,2024,,Storm Crising,14.481873427205677,,gutter,,,,
101,,,,2024,,by Tropical,14.481821724574125,,gutter,,,,
102,,,,2024,,Storm Crising,14.47950542015661,,gutter,,,,
103,,,,2024,,Storm Crising,14.479434295261683,,waist,,,,
104,,,,2024,,Storm Crising,14.490862756486042,,gutter,,,,
105,,,,2024,,Storm Crising,14.481873427205677,,knee,,,,
106,,,,2024,,Storm Crising,14.490862756486042,,waist,,,,
107,,,,2024,,Storm Crising,14.509517362796574,,knee,,,,
108,,,,2024,,by Tropical,14.490862756486042,,knee,,,,
109,,,,2024,,Storm Crising,14.50510020307417,,knee,,,,
110,,,,2024,,Storm Crising,14.480506745373885,,knee,,,,
111,,,,2024,,Storm Crising,14.498570162620052,,gutter,,,,
112,,,,2024,,Storm Crising,14.474896061573808,,gutter,,,,
113,,,,2024,,Storm Crising,14.469303341695102,,gutter,,,,
114,,,,2024,,Storm Crising,14.463491977469097,,gutter,,,,
115,,,,2024,,by Tropical,14.468844930072235,,gutter,,,,
116,,,,2024,,Storm Crising,14.465879333689644,,gutter,,,,
117,,,,2024,,Storm Crising,14.470736478925781,,gutter,,,,
118,,,,2024,,Storm Crising,14.468788294011436,,knee,,,,
119,,,,2024,,Storm Crising,14.465342449439587,,gutter,,,,
120,,,,2024,,Storm Crising,14.46561916429221,,gutter,,,,
121,,,,2024,,Storm Crising,14.479375039914073,,knee,,,,
122,,,,2024,,by Tropical,14.470528256904448,,knee,,,,
123,,,,2024,,Storm Crising,14.47100300759739,,chest,,,,
124,,,,2024,,Storm Crising,14.468452749635238,,knee,,,,
125,,,,2024,,Storm Crising,14.47175324819849,,waist,,,,
126,,,,2024,,Storm Crising,14.458686997163165,,gutter,,,,
127,,,,2024,,Storm Crising,14.483387457452364,,gutter,,,,
128,,,,2024,,Storm Crising,14.484501415087102,,gutter,,,,
129,,,,2024,,by Tropical,14.482060698919657,,knee,,,,
130,,,,2024,,Storm Crising,14.485892348695117,,gutter,,,,
131,,,,2024,,Storm Crising,14.491806829020357,,gutter,,,,
