*year_2024,year,flood,precipitation,temperature,humidity,month,day,risk_level,is_monsoon_season,temp_humidity_interaction,humidity_precip_interaction,temp_precip_interaction,monsoon_precip_interaction,saturation_risk
FLOOD            WEATHER,2024,1,40.0,24.01867558647873,78.71444246790038,,,,,18.906166576070433,292.3117547949982,89.19508273718012,,0
#      DATE         MONTH   BARANGAY        LOCATION                                      REMARKS             LATITUDE            LONGITUDE,2024,1,40.0,30.146486525892623,81.40402927187401,,,,,24.540454715979184,302.2997292212111,111.95115027183265,,0
DEPTH         DISTURBANCES,2024,1,40.0,27.789062327530154,87.95351908421155,,,,,24.441458237567677,326.6217316394723,103.19668561942098,,1
Canaynay                                    Subsided as of,2024,1,40.0,29.180237432119604,84.95222997674328,,,,,24.789262411093972,315.4762282458742,108.36291462771881,,0
"1    June 7, 2024    June                      Ave         Gutter Level                     0330H         14.475073910005506   121.00111573407162",2024,1,40.0,25.922321949130023,82.79586247128165,,,,,21.462610030364548,307.46840211204307,96.26441069440523,,0
Subsided as of,2024,1,40.0,25.74070138052702,83.65283074649247,,,,,21.53282535881232,310.6508155609177,95.58994962410216,,0
"2    June 7, 2024    June                    Gatchalian    Knee Level                       0104H         14.474189978570331   120.99820196883023",2024,1,40.0,24.67999913549777,77.65385452045179,,,,,19.1649706243282,288.3731850190698,91.65095539587098,,0
Subsided as of,2024,1,40.0,27.29668864830307,83.70809710626237,,,,,22.849538640515632,310.8560511707877,101.36822047786286,,0
"3    June 7, 2024    June   San Dionisio     SM Sucat    Gutter Level                       0330H         14.484014007435768   120.9940966326231",2024,1,40.0,27.070378114527433,85.28950918214882,,,,,23.088192627632278,316.7287388817484,100.5278000012327,,1
Sapphire St.,2024,1,40.0,25.350117383958107,80.93612830668035,,,,,20.517403531774413,300.562145266884,94.13948780474212,,0
Greenheights                                 Subsided as of,2024,1,40.0,29.044573395412122,80.86891942868472,,,,,23.488032657541027,300.3125602549249,107.85911645054556,,0
"4    June 7, 2024    June     San Isidro        Ave.     Waist Level                        2350H         14.47236131739471    121.01610820118736",2024,1,40.0,26.203229272859843,79.69253157998851,,,,,20.882016763250626,295.94395920039625,97.30758028514094,,0
Subsided as of,2024,1,40.0,27.126360347727758,91.48319408520186,,,,,24.816060885163026,339.7294341276944,100.73569405867715,,1
