*year_2025,year,flood,precipitation,temperature,humidity,month,day,risk_level,is_monsoon_season,temp_humidity_interaction,humidity_precip_interaction,temp_precip_interaction,monsoon_precip_interaction,saturation_risk
FLOO FLOOD                            ACTIO,2025,1,40.0,29.55737588267688,87.05011768952087,,,,,25.729730491804286,323.2668854551273,109.76344544298844,,1
TIME                                      WEATHER WEATHER,2025,1,40.0,23.977215745212344,84.55580629359716,,,,,20.27412810011963,314.0040803295627,89.04111862876329,,0
BARAN            D  DEPTH                     TIME    NS,2025,1,40.0,28.56100614099849,74.19590961367595,,,,,21.191098301131678,275.5318574050646,106.06335460218219,,0
DATE      REPO    MONTH         LOCATION            DISTURBA TEMPERAT                      LATITUDE            LONGITUDE,2025,1,40.0,26.62448427033221,84.53784296394329,,,,,22.50776470241323,313.9373722103351,98.87194107671392,,0
GAY           DEPT (METE                   SUBSIDED TAKE,2025,1,40.0,31.34569875627601,78.9571125131035,,,,,24.749658635011333,293.2129274962903,116.40451131263457,,0
RTED                                        NCES     URE,2025,1,40.0,25.907707957160778,87.69307513381118,,,,,22.719265804321378,325.6545542603233,96.2101405820452,,1
H   RS)                               N,2025,1,40.0,27.68860995388473,82.0009048683028,,,,,22.704910707640433,304.51626976340657,102.82364849061719,,0
Dr. A.,2025,1,40.0,27.242398642710867,84.9062504902012,,,,,23.13049923111926,315.30548010901015,101.16661062959443,,0
Santos Ave.,2025,1,40.0,28.22011379136515,87.53868979599856,,,,,24.70351787190095,325.0812331823137,104.79742629483063,,1
infront of,2025,1,40.0,27.528841881015637,77.80943970980155,,,,,21.42003762621546,288.950961832232,102.23033823805935,,0
San,2025,1,40.0,30.580331996144235,92.80719452845385,,,,,28.380748203108592,344.6462051900591,113.56226669142522,,1
Fourth,2025,1,40.0,29.275864137213368,92.58172513281959,,,,,27.104100065772585,343.80890834053497,108.71803128858598,,1
Antonio,2025,1,40.0,25.963177874199687,90.71601676840793,,,,,23.552760793970563,336.8804658738393,96.41613211650329,,1
Estate,2025,1,40.0,26.632309670624892,83.97090278813671,,,,,22.363390863755964,311.8319990099674,98.90100126465161,,0
"May 6,                            (Northbound       Gutter",2025,1,40.0,28.191049273958736,85.20945902035666,,,,,24.021440578502425,316.43146683698194,104.68949311485792,,1
"1   2025      1600H    MAY                   )          Level    8""    Easterlies          14.461084936317045   121.02733352014849",2025,1,40.0,29.800158663750082,81.30247435508919,,,,,24.228266355371296,301.92259771900257,110.66503679705868,,0
Dr. A.,2025,1,40.0,24.840017482161805,86.29354607108303,,,,,21.435331930034376,320.4573022264352,92.24519505820275,,1
San     Santos Ave.,2025,1,40.0,30.170482881344732,89.76161809795752,,,,,27.08151362226231,333.3362376307549,112.0402624671423,,1
"May 6,                    Antonio corner San        Gutter",2025,1,40.0,26.440859154095804,75.37815808097665,,,,,19.93063261114272,279.92222228913647,98.19003597431308,,0
"2   2025      1600H    MAY            Antonio Ave.      Level    8""    Easterlies          14.464863417205555   121.01964668077106",2025,1,40.0,27.999178692477972,77.01315142107295,,,,,21.563049883094855,285.9938878861657,103.97696788304864,,0
Dr. A.,2025,1,40.0,28.753432594184886,81.09570933991726,,,,,23.317800121829208,301.1547609342884,106.77794410363018,,0
Santos Ave.,2025,1,40.0,26.819836289604304,84.92332204715363,,,,,22.776295944740042,315.3688765660438,99.59739487865706,,0
San,2025,1,40.0,28.801498072409718,80.01340631211073,,,,,23.045059676651928,297.1355506425166,106.95643872093869,,0
infront of SM,2025,1,40.0,26.336430448464842,89.18902391801838,,,,,23.48920525183358,331.20986787857544,97.80223245011985,,1
Antonio,2025,1,40.0,29.19533985582574,79.60541225006044,,,,,23.24107065003628,295.62043529030535,108.41899856653345,,0
"May 6,                            BF(Northbou       Gutter",2025,1,40.0,28.196090113997187,84.77761740713738,,,,,23.903973400616223,314.8277918848903,104.70821263761744,,0
"3   2025      1620H    MAY                  nd)         Level    8""    Easterlies          14.457606753585543   121.03383402933494",2025,1,40.0,26.668185152152112,85.03358602649283,,,,,22.676914163059656,315.7783497996815,99.03422745073065,,1
"May 6,                     San                      Gutter",2025,1,40.0,29.393080277827863,76.43750785207851,,,,,22.46733804533241,283.85619400797,109.15332187413885,,0
Banner Ave.,2025,1,40.0,25.343727057983426,86.79613965316312,,,,,21.997376730563783,322.3237197137527,94.1157568687054,,1
"4   2025      1640H    MAY    Antonio                   Level    8""    Easterlies          14.462469187579913   121.03087722653824",2025,1,40.0,29.4837941393838,85.87202440177573,,,,,25.31833089794098,318.89195112978507,109.49019433647587,,1
Dr. A.,2025,1,40.0,28.266036546218352,81.2560009949584,,,,,22.967850937230487,301.75001554697496,104.96796375447958,,0
Santos Ave.,2025,1,40.0,30.914158964151465,86.80304970028443,,,,,26.83443277007733,322.34938067172203,114.80195719492946,,1
San      infront of,2025,1,40.0,26.365747136429448,86.38964862214041,,,,,22.77727630776345,320.8141859755809,97.9111020836335,,1
Antonio     PNHS,2025,1,40.0,28.57877604539847,82.93958727927385,,,,,23.70311890152147,308.0021345442953,106.12934442278997,,0
"May 12,                           (Northbound       Knee",2025,1,40.0,26.355745997990592,86.21850720505941,,,,,22.723530762224676,320.17863998965277,97.87396213529172,,1
"5    2025     2130H    MAY                   )          Level    19""   Easterlies          14.478585115329807   120.9984147742183",2025,1,40.0,29.559160841064056,80.43451264283539,,,,,23.775766963821717,298.699359349408,109.7700740145953,,0
"May 12,                                             Chest",2025,1,40.0,28.650964476997096,78.16626464292379,,,,,22.395388715839637,290.27605693657836,106.39742136591381,,0
Sto. Niño   Sitio Libjo,2025,1,40.0,27.039256094564497,87.40825032817719,,,,,23.63454065401384,324.59683681821645,100.41222613723893,,1
"6    2025     2130H    MAY                              Level    45""   Easterlies          14.499879060866066   121.0097883882997",2025,1,40.0,24.747161047427443,74.96576652940784,,,,,18.55189897347102,278.3907765426857,91.90036599595948,,0
"May 12,                     Don        Doña         Gutter",2025,1,40.0,29.38305413192034,82.04583793173819,,,,,24.107572972470262,304.6831319326517,109.11608905875997,,0
"7    2025     2130H    MAY     Bosco      Soledad       Level    8""    Easterlies          14.486468830290727   121.02712297682294",2025,1,40.0,24.148079584380078,85.82002768773617,,,,,20.723888585371547,318.69885758496736,89.67563380910643,,1
                                          Ave. corner,2025,1,40.0,31.11715417567109,92.14369107519393,,,,,28.672494415022175,342.1822372998712,115.55579454210347,,1
Russia St.,2025,1,40.0,26.280543869697205,88.49366546405493,,,,,23.25661657418404,328.6276041475901,97.59469361230468,,1
Dr. A.,2025,1,40.0,29.019141242098144,84.8758600903685,,,,,24.63024572006965,315.19262316909544,107.76467231640262,,0
Santos Ave.,2025,1,40.0,28.006862159602985,78.62735343392147,,,,,22.021054495982252,291.9883433910978,104.00550099193953,,0
San         infront of,2025,1,40.0,27.744801476586847,89.6220562083012,,,,,24.86546157422825,332.81796449575074,103.03231975970935,,1
Dionisio        PNHS,2025,1,40.0,26.75532592497665,85.00043747655974,,,,,22.742144084509555,315.6552502705983,99.35783099056289,,1
"May 12,                             (Southbound     Gutter",2025,1,40.0,25.929700947424394,83.75534206007116,,,,,21.71750972366881,311.0314987115447,96.29181313635145,,0
"8     2025     2153H   MAY                      )        Level    8""    Easterlies   14.478580473257095   120.99826088770628",2025,1,40.0,27.797063388754275,85.92177609417276,,,,,23.883730565640718,319.07670762494195,103.22639813688687,,1
"May 12,                                  Gat        Knee",2025,1,40.0,28.755993845277867,88.58067803173707,,,,,25.472254322911713,328.9507315883867,106.7874554941449,,1
Vitalez,2025,1,40.0,31.490870919780612,93.81015104131109,,,,,29.541633574070502,348.3707564803249,116.94361860388828,,1
"9     2025     2153H   MAY                 Mendoza       Level    19""   Easterlies   14.50957751280398    121.0081220108555",2025,1,40.0,27.195129840971898,86.4202229520863,,,,,23.502091840677267,320.92772595322623,100.99107452783001,,1
Dr. A.,2025,1,40.0,25.231712922651106,89.09655747027107,,,,,22.480587604863654,330.8664870611137,93.69978430465926,,1
Santos Ave.,2025,1,40.0,28.292407104659127,84.58589088782527,,,,,23.931384603086293,314.1158016383264,105.06589272368863,,0
infront of,2025,1,40.0,28.167498911194805,83.82188247025488,,,,,23.610527832152034,311.27860132011,104.60203714553704,,0
San,2025,1,40.0,26.484003216553578,96.4162511981967,,,,,25.534883068610792,358.048697225969,98.35025455950041,,1
Fourth,2025,1,40.0,29.42503965445759,84.30388517059093,,,,,24.80645164169477,313.068553084154,109.27200532246029,,0
Antonio,2025,1,40.0,28.498277732205594,93.73236474375618,,,,,26.712109629639595,348.08189145855266,105.83040813550008,,1
Estate,2025,1,40.0,29.868333460383063,78.26091057522787,,,,,23.375229739741254,290.62753142700996,110.91820881748816,,0
"May 12,                             (Northbound     Gutter",2025,1,40.0,24.882841946081772,87.49238757690803,,,,,21.77059251561531,324.90928655487266,92.40422679118753,,1
"10    2025     2153H   MAY                      )        Level    8""    Easterlies   14.461084936317045   121.02733352014849",2025,1,40.0,27.0869086076657,97.28838214450839,,,,,26.35241515735954,361.2874183467005,100.58918717879982,,1
"May 12,                                Vitalez      Knee",2025,1,40.0,26.98881286763487,86.9881541643873,,,,,23.477070144436215,323.0367794390367,100.22490157875865,,1
Vitalez,2025,1,40.0,27.095415691505114,84.24465696797138,,,,,22.826440003354374,312.84860488534497,100.62077884771497,,0
"11    2025     2153H   MAY                Cmpd. Rd.      Level    19""   Easterlies   14.465833460136432   121.01386660024596",2025,1,40.0,27.057824087416282,90.81075470217685,,,,,24.571414259770123,337.23228201834087,100.4811797168281,,1
Ninoy,2025,1,40.0,25.666864230288304,82.53890040448616,,,,,21.185147503992347,306.5141549585887,95.31575004549062,,0
Aquino Ave,2025,1,40.0,30.741272940152452,83.77015999579511,,,,,25.752013526709778,311.0865261837354,114.15993248548315,,0
San         corner V.,2025,1,40.0,28.77443296053521,89.5405516298394,,,,,25.764786001221555,332.5152913698665,106.8559304774993,,1
Dionisio       Medina,2025,1,40.0,27.757555289996752,87.27638083954818,,,,,24.22578966664572,324.10712996879323,103.07968196493233,,1
"May 12,                             (Southbound     Knee",2025,1,40.0,29.508048486048054,94.04260722054708,,,,,27.750138136182763,349.2339992542685,109.5802646007444,,1
"12    2025     2336H   MAY                      )        Level    19""   Easterlies   14.490847549002241   120.99159601899196",2025,1,40.0,29.809397145947475,87.49710770486652,,,,,26.08236032696107,324.9268150902106,110.69934456648566,,1
Dr. A.,2025,1,40.0,26.752996410756456,80.63353526323621,,,,,21.571886794839624,299.43844419317077,99.34918017162579,,0
