record_num,year,date,month,day,month_name,latitude,flood_depth_cm,flood_severity,flood_depth_text,location,barangay,weather_disturbance,flood,is_typhoon,is_itcz,is_sw_monsoon,is_ne_monsoon,is_easterlies,is_thunderstorm,is_lpa,precipitation,temperature,humidity,wind_speed,wind_direction,temp_max,temp_min,nearest_station,distance_to_nearest_km,longitude,temp_range,station_key,station_lat,station_lon,elevation,is_monsoon_season,precip_3day_sum,precip_7day_sum,precip_3day_avg,precip_7day_avg,precip_max_3day,precip_max_7day,precip_lag1,precip_lag2,rain_streak,humidity_3day_avg,humidity_lag1,temp_humidity_interaction,humidity_precip_interaction,temp_precip_interaction,monsoon_precip_interaction,saturation_risk,heat_index,barangay_clean,barangay_encoded
1.0,2024,2024-06-07,6.0,7.0,June,14.475073910005506,20,1,Gutter Level,June                      Ave,,,1,0,0,0,0,0,0,0,2.959506906785246,29.82252254388999,83.7107636198946,2.942152723978923,253.92603601778697,33.07686108959157,26.568183998188406,naia,3.19974792175677,121.02,,,,,,,71.5,72.5,23.833333333333332,10.357142857142858,39.5,39.5,29.0,39.5,3,82.0,81.0,24.964661352205525,115.19601409558815,41.039354782752035,,0,31.046111403909574,unknown,18
2.0,2024,2024-06-07,6.0,7.0,June,14.474189978570331,48,2,Knee Level,,,,1,0,0,0,0,0,0,0,2.959506906785246,29.82252254388999,83.7107636198946,2.942152723978923,253.92603601778697,33.07686108959157,26.568183998188406,naia,3.19974792175677,121.02,,,,,,,71.5,72.5,23.833333333333332,10.357142857142858,39.5,39.5,29.0,39.5,3,82.0,81.0,24.964661352205525,115.19601409558815,41.039354782752035,,0,31.046111403909574,unknown,18
3.0,2024,2024-06-07,6.0,7.0,June,14.484014007435768,20,1,Gutter Level,Sapphire St.,San Dionisio,,1,0,0,0,0,0,0,0,2.959506906785246,29.82252254388999,83.7107636198946,2.942152723978923,253.92603601778697,33.07686108959157,26.568183998188406,naia,3.19974792175677,121.02,,,,,,,71.5,72.5,23.833333333333332,10.357142857142858,39.5,39.5,29.0,39.5,3,82.0,81.0,24.964661352205525,115.19601409558815,41.039354782752035,,0,31.046111403909574,san dionisio,11
4.0,2024,2024-06-07,6.0,7.0,June,14.47236131739471,94,3,Waist Level,June     San Isidro        Ave,San Isidro,,1,0,0,0,0,0,0,0,2.959506906785246,29.82252254388999,83.7107636198946,2.942152723978923,253.92603601778697,33.07686108959157,26.568183998188406,naia,3.19974792175677,121.02,,,,,,,71.5,72.5,23.833333333333332,10.357142857142858,39.5,39.5,29.0,39.5,3,82.0,81.0,24.964661352205525,115.19601409558815,41.039354782752035,,0,31.046111403909574,san isidro,12
5.0,2024,2024-06-07,6.0,7.0,June,14.500206764635475,94,3,Waist Level,,,,1,0,0,0,0,0,0,0,2.959506906785246,29.82252254388999,83.7107636198946,2.942152723978923,253.92603601778697,33.07686108959157,26.568183998188406,naia,3.19974792175677,121.02,,,,,,,71.5,72.5,23.833333333333332,10.357142857142858,39.5,39.5,29.0,39.5,3,82.0,81.0,24.964661352205525,115.19601409558815,41.039354782752035,,0,31.046111403909574,unknown,18
6.0,2024,2024-06-07,6.0,7.0,June,14.46334602197292,48,2,Knee Level,Pascor Drive,Sto. Niño,,1,0,0,0,0,0,0,0,2.959506906785246,29.82252254388999,83.7107636198946,2.942152723978923,253.92603601778697,33.07686108959157,26.568183998188406,naia,3.19974792175677,121.02,,,,,,,71.5,72.5,23.833333333333332,10.357142857142858,39.5,39.5,29.0,39.5,3,82.0,81.0,24.964661352205525,115.19601409558815,41.039354782752035,,0,31.046111403909574,sto. niño,14
7.0,2024,2024-06-07,6.0,7.0,June,14.479764999578846,48,2,Knee Level,,,,1,0,0,0,0,0,0,0,2.959506906785246,29.82252254388999,83.7107636198946,2.942152723978923,253.92603601778697,33.07686108959157,26.568183998188406,naia,3.19974792175677,121.02,,,,,,,71.5,72.5,23.833333333333332,10.357142857142858,39.5,39.5,29.0,39.5,3,82.0,81.0,24.964661352205525,115.19601409558815,41.039354782752035,,0,31.046111403909574,unknown,18
8.0,2024,2024-06-07,6.0,7.0,June,14.485042991870833,48,2,Knee Level,,Don Bosco,,1,0,0,0,0,0,0,0,2.959506906785246,29.82252254388999,83.7107636198946,2.942152723978923,253.92603601778697,33.07686108959157,26.568183998188406,naia,3.19974792175677,121.02,,,,,,,71.5,72.5,23.833333333333332,10.357142857142858,39.5,39.5,29.0,39.5,3,82.0,81.0,24.964661352205525,115.19601409558815,41.039354782752035,,0,31.046111403909574,don bosco,3
9.0,2024,2024-06-07,6.0,7.0,June,14.479968820877692,48,2,Knee Level,June                   High School,,,1,0,0,0,0,0,0,0,2.959506906785246,29.82252254388999,83.7107636198946,2.942152723978923,253.92603601778697,33.07686108959157,26.568183998188406,naia,3.19974792175677,121.02,,,,,,,71.5,72.5,23.833333333333332,10.357142857142858,39.5,39.5,29.0,39.5,3,82.0,81.0,24.964661352205525,115.19601409558815,41.039354782752035,,0,31.046111403909574,unknown,18
10.0,2024,2024-06-07,6.0,7.0,June,14.48423817578842,20,1,Gutter Level,June                   France Street,,,1,0,0,0,0,0,0,0,2.959506906785246,29.82252254388999,83.7107636198946,2.942152723978923,253.92603601778697,33.07686108959157,26.568183998188406,naia,3.19974792175677,121.02,,,,,,,71.5,72.5,23.833333333333332,10.357142857142858,39.5,39.5,29.0,39.5,3,82.0,81.0,24.964661352205525,115.19601409558815,41.039354782752035,,0,31.046111403909574,unknown,18
11.0,2024,2024-06-07,6.0,7.0,June,14.475624206396539,48,2,Knee Level,,,,1,0,0,0,0,0,0,0,2.959506906785246,29.82252254388999,83.7107636198946,2.942152723978923,253.92603601778697,33.07686108959157,26.568183998188406,naia,3.19974792175677,121.02,,,,,,,71.5,72.5,23.833333333333332,10.357142857142858,39.5,39.5,29.0,39.5,3,82.0,81.0,24.964661352205525,115.19601409558815,41.039354782752035,,0,31.046111403909574,unknown,18
12.0,2024,2024-06-07,6.0,7.0,June,14.484951745640139,48,2,Knee Level,June    DonBosco        Compound,DonBosco,Southwest,1,0,0,0,0,0,0,0,2.959506906785246,29.82252254388999,83.7107636198946,2.942152723978923,253.92603601778697,33.07686108959157,26.568183998188406,naia,3.19974792175677,121.02,,,,,,,71.5,72.5,23.833333333333332,10.357142857142858,39.5,39.5,29.0,39.5,3,82.0,81.0,24.964661352205525,115.19601409558815,41.039354782752035,,0,31.046111403909574,donbosco,4
13.0,2024,2024-06-07,6.0,7.0,June,14.461764071079767,20,1,Gutter Level,,Marcelo Green,Monsoon,1,0,0,0,0,0,0,0,2.959506906785246,29.82252254388999,83.7107636198946,2.942152723978923,253.92603601778697,33.07686108959157,26.568183998188406,naia,3.19974792175677,121.02,,,,,,,71.5,72.5,23.833333333333332,10.357142857142858,39.5,39.5,29.0,39.5,3,82.0,81.0,24.964661352205525,115.19601409558815,41.039354782752035,,0,31.046111403909574,marcelo green,6
14.0,2024,2024-06-07,6.0,7.0,June,14.476474948627438,20,1,Gutter Level,,,,1,0,0,0,0,0,0,0,2.959506906785246,29.82252254388999,83.7107636198946,2.942152723978923,253.92603601778697,33.07686108959157,26.568183998188406,naia,3.19974792175677,121.02,,,,,,,71.5,72.5,23.833333333333332,10.357142857142858,39.5,39.5,29.0,39.5,3,82.0,81.0,24.964661352205525,115.19601409558815,41.039354782752035,,0,31.046111403909574,unknown,18
15.0,2024,2024-06-07,6.0,7.0,June,14.476470900931758,20,1,Gutter Level,,,,1,0,0,0,0,0,0,0,2.959506906785246,29.82252254388999,83.7107636198946,2.942152723978923,253.92603601778697,33.07686108959157,26.568183998188406,naia,3.19974792175677,121.02,,,,,,,71.5,72.5,23.833333333333332,10.357142857142858,39.5,39.5,29.0,39.5,3,82.0,81.0,24.964661352205525,115.19601409558815,41.039354782752035,,0,31.046111403909574,unknown,18
16.0,2024,2024-06-07,6.0,7.0,June,14.470745747304356,48,2,Knee Level,June                    Napa Street,,,1,0,0,0,0,0,0,0,2.959506906785246,29.82252254388999,83.7107636198946,2.942152723978923,253.92603601778697,33.07686108959157,26.568183998188406,naia,3.19974792175677,121.02,,,,,,,71.5,72.5,23.833333333333332,10.357142857142858,39.5,39.5,29.0,39.5,3,82.0,81.0,24.964661352205525,115.19601409558815,41.039354782752035,,0,31.046111403909574,unknown,18
17.0,2024,2024-06-07,6.0,7.0,June,14.463329814586718,20,1,Gutter Level,,,,1,0,0,0,0,0,0,0,2.959506906785246,29.82252254388999,83.7107636198946,2.942152723978923,253.92603601778697,33.07686108959157,26.568183998188406,naia,3.19974792175677,121.02,,,,,,,71.5,72.5,23.833333333333332,10.357142857142858,39.5,39.5,29.0,39.5,3,82.0,81.0,24.964661352205525,115.19601409558815,41.039354782752035,,0,31.046111403909574,unknown,18
18.0,2024,2024-06-07,6.0,7.0,June,14.470017156810366,48,2,Knee Level,,,,1,0,0,0,0,0,0,0,2.959506906785246,29.82252254388999,83.7107636198946,2.942152723978923,253.92603601778697,33.07686108959157,26.568183998188406,naia,3.19974792175677,121.02,,,,,,,71.5,72.5,23.833333333333332,10.357142857142858,39.5,39.5,29.0,39.5,3,82.0,81.0,24.964661352205525,115.19601409558815,41.039354782752035,,0,31.046111403909574,unknown,18
19.0,2024,2024-06-07,6.0,7.0,June,14.472764738170182,48,2,Knee Level,,,,1,0,0,0,0,0,0,0,2.959506906785246,29.82252254388999,83.7107636198946,2.942152723978923,253.92603601778697,33.07686108959157,26.568183998188406,naia,3.19974792175677,121.02,,,,,,,71.5,72.5,23.833333333333332,10.357142857142858,39.5,39.5,29.0,39.5,3,82.0,81.0,24.964661352205525,115.19601409558815,41.039354782752035,,0,31.046111403909574,unknown,18
20.0,2024,2024-06-07,6.0,7.0,June,14.471649383275464,48,2,Knee Level,June    San Antonio       Bridge,San Antonio,,1,0,0,0,0,0,0,0,2.959506906785246,29.82252254388999,83.7107636198946,2.942152723978923,253.92603601778697,33.07686108959157,26.568183998188406,naia,3.19974792175677,121.02,,,,,,,71.5,72.5,23.833333333333332,10.357142857142858,39.5,39.5,29.0,39.5,3,82.0,81.0,24.964661352205525,115.19601409558815,41.039354782752035,,0,31.046111403909574,san antonio,10
21.0,2024,2024-06-07,6.0,7.0,June,14.472654037758867,48,2,Knee Level,,Porres,,1,0,0,0,0,0,0,0,2.959506906785246,29.82252254388999,83.7107636198946,2.942152723978923,253.92603601778697,33.07686108959157,26.568183998188406,naia,3.19974792175677,121.02,,,,,,,71.5,72.5,23.833333333333332,10.357142857142858,39.5,39.5,29.0,39.5,3,82.0,81.0,24.964661352205525,115.19601409558815,41.039354782752035,,0,31.046111403909574,porres,9
22.0,2024,2024-06-07,6.0,7.0,June,14.491435843589,48,2,Knee Level,,Sun Valley,,1,0,0,0,0,0,0,0,2.959506906785246,29.82252254388999,83.7107636198946,2.942152723978923,253.92603601778697,33.07686108959157,26.568183998188406,naia,3.19974792175677,121.02,,,,,,,71.5,72.5,23.833333333333332,10.357142857142858,39.5,39.5,29.0,39.5,3,82.0,81.0,24.964661352205525,115.19601409558815,41.039354782752035,,0,31.046111403909574,sun valley,16
23.0,2024,2024-06-23,6.0,23.0,June,14.481514360482887,20,1,Gutter Level,June                   France Street,,,1,0,0,0,0,0,0,0,63.70962680714768,28.081816001811593,84.91322908596838,2.942152723978923,260.28923638010536,33.18264581719368,22.980986186429508,naia,3.19974792175677,121.02,,,,,,,77.5,100.55000000000001,25.833333333333332,14.364285714285716,65.5,65.5,8.5,3.5,3,81.66666666666667,82.0,23.845176753118402,354.08052156040145,117.09864485565488,,0,29.162731917015265,unknown,18
24.0,2024,2024-06-23,6.0,23.0,June,14.486614537055434,20,1,Gutter Level,June    DonBosco       Russia Street,DonBosco,,1,0,0,0,0,0,0,0,63.70962680714768,28.081816001811593,84.91322908596838,2.942152723978923,260.28923638010536,33.18264581719368,22.980986186429508,naia,3.19974792175677,121.02,,,,,,,77.5,100.55000000000001,25.833333333333332,14.364285714285716,65.5,65.5,8.5,3.5,3,81.66666666666667,82.0,23.845176753118402,354.08052156040145,117.09864485565488,,0,29.162731917015265,donbosco,4
25.0,2024,2024-06-23,6.0,23.0,June,14.507113708313183,94,3,Waist Level,,,,1,0,0,0,0,0,0,0,63.70962680714768,28.081816001811593,84.91322908596838,2.942152723978923,260.28923638010536,33.18264581719368,22.980986186429508,naia,3.19974792175677,121.02,,,,,,,77.5,100.55000000000001,25.833333333333332,14.364285714285716,65.5,65.5,8.5,3.5,3,81.66666666666667,82.0,23.845176753118402,354.08052156040145,117.09864485565488,,0,29.162731917015265,unknown,18
26.0,2024,2024-06-23,6.0,23.0,June,14.503944143445306,94,3,Waist Level,,Merville,,1,0,0,0,0,0,0,0,63.70962680714768,28.081816001811593,84.91322908596838,2.942152723978923,260.28923638010536,33.18264581719368,22.980986186429508,naia,3.19974792175677,121.02,,,,,,,77.5,100.55000000000001,25.833333333333332,14.364285714285716,65.5,65.5,8.5,3.5,3,81.66666666666667,82.0,23.845176753118402,354.08052156040145,117.09864485565488,,0,29.162731917015265,merville,7
