location,date,month,day,flood_depth_cm,flood_severity,flood_depth_text,weather_disturbance,barangay,record_num,year,time_reported,time_subsided,flood_duration_hours,flood,is_typhoon,is_itcz,is_sw_monsoon,is_ne_monsoon,is_easterlies,is_thunderstorm,is_lpa,latitude,longitude,precipitation,temp_max,temp_min,humidity,wind_speed,wind_direction,temperature,temp_range,station_key,station_lat,station_lon,elevation,is_monsoon_season,precip_3day_sum,precip_7day_sum,precip_3day_avg,precip_7day_avg,precip_max_3day,precip_max_7day,precip_lag1,precip_lag2,rain_streak,humidity_3day_avg,humidity_lag1,temp_humidity_interaction,humidity_precip_interaction,temp_precip_interaction,monsoon_precip_interaction,saturation_risk,heat_index,barangay_clean,barangay_encoded
"Santos Ave. infront of San     Santos Ave. May 6,                    Antonio corner San        Gutter 2   2025      1600H    MAY            Antonio Ave.      Level    8""    Easterlies          14.464863417205555   121.01964668077106 Santos Ave. infront of SM Banner Ave. Santos Ave. San      infront of Sto. Niño   Sitio Libjo Ave. corner Russia St. Santos Ave. San         infront of Santos Ave. infront of Aquino Ave San         corner V. San       Santos Ave. 13    2025     2336H   MAY                  Avenue       Level    8""    Easterlies   14.47517951255734     121.00117050347 San        Aquino Ave May 13,                 Dionisio      corner V.     Knee Santos Ave. infront of Santos Ave. San      infront of Sitio Libjo",2025-05-06,5,6,55,2,"May 13,                                 Gat        Knee","22    2025     0028H   MAY               Mendoza        Level    19""   Easterlies   14.50957751280398    121.0081220108555",Vitalez,,,,,,1,0,0,0,0,1,0,0,14.48,121.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,vitalez,3
"Street, June 7,                              corner        Knee           Southwest 24    2025     0327H   JUNE            Quirino Ave.     Level    19""   Monsoon      14.531476137180539   120.99691340005927 Sikat Street June 7,                              corner        Knee           Southwest Street 26    2025     2315H   JUNE                   Street      Level    8""    Monsoon     14.531223277759253   120.99864190727435 27    2025     2315H   JUNE                   Street      Level    8""    Monsoon     14.531105328894384   120.99449365263946 28    2025     2315H   JUNE               Silang Street   Level    19""   Monsoon     14.531733356578126   120.99811989240779 29    2025     2315H   JUNE                     St.     Level      8""    Monsoon     14.532359024342465   120.99743904493013 31    2025     2300H   JUNE               Pascor Drive Level       19""   Monsoon     14.508762320423763   120.99688684332286 32    2025     2300H   JUNE                 Sitio Libjo Level      19""   Monsoon     14.499879060866066   121.02733352014849 33    2025     2300H   JUNE                   Road      Level      19""   Monsoon     14.498589511798034   121.00445236072845 Santos Ave. BF          infront of 38    2025     2250H   JUNE    Bosco      Guam Street Level        8""    Monsoon      14.4824325212493    121.0325770003681 40    2025     2250H   JUNE    Bosco  India Street Level     8""    Monsoon     14.480719527484188   121.03065322310742 43    2025     2250H   JUNE    Bosco      Street    Level    8""    Monsoon     14.483076791479052   121.02645045339663 44    2025     2250H   JUNE    Bosco       Ave.     Level    19""   Monsoon     14.482874843867062   121.01882580744203 45    2025     2250H   JUNE    Bosco        St.     Level    8""    Monsoon     14.483302140315635   121.01221654603904 June 7,                          Street (Front Knee           Southwest June 7,                   Bosco  Ave. corner Gutter           Southwest 48    2025     2250H   JUNE            Russia St. Level      8""    Monsoon     14.486465975053216    121.027126782014 Ave. infront 51    2025     0045H   JUNE      k        Street    Level    8""    Monsoon     14.49550011718734    121.0060716017649 52    2025     0045H   JUNE      k         Street       Level    19""   Monsoon     14.496430813529676   121.00608593852981 53    2025     0045H   JUNE             Batang St.      Level    19""   Monsoon     14.49241430874772    121.00860647361851 Ave. infront 56    2025     2230H   JUNE    Valley      Drive        Level    8""    Monsoon     14.491771105458936   121.03092545447625 Santos Ave. San      infront of Santos Ave. infront of St. June 8,                               St. cor      Gutter         Southwest 62    2025      0055H   JUNE             Urma Drive    Level    37""   Monsoon                   14.468809635724792   121.02286236389642",2025-06-07,6,7,167,3,"June 8,                                           Gutter         Southwest","66    2025      0055H   JUNE              JetLane      Level    8""    Monsoon                   14.508723970490719   121.00797275836503",Vitalez,23.0,2025.0,,,,1,0,0,0,0,0,0,0,14.48,121.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,vitalez,3
"2225H   JULY   Sto Niño Pascor Drive 2225H   JULY   Baclaran St. Corner J.           19"" Gabriel St. July 19,                              Leon St.    Gutter          Southwest       of 0535H, St.                      by Tropical    of 1300, 21 1030H   JULY   Vitalez    Urma Drive            37""    Enchanced       of 1620H, Aquino Ave.                      Monsoon July 21,                               Leon St.    Gutter 1030H   JULY   Baclaran Mabuhay St.                     Enchanced       of 2200H, 2025                                   St.     Level 1111H   JULY   Don Galo Quirino Ave                   Enchanced       of 1245H, 2025                        k        St.         Level July 21,                                Sitio       Knee July 21,                    San        Ave,     Gutter Ave 115                                            St.                 8""                        2025      14.468844930072235   121.02240003183886 1558H   JULY           Sta Lucia St.                 Enchanced       of 1730H, July 21,                   San       Creek Drive   Knee 2025                     Bosco         St.        Level July 21,                              St. Peter    Gutter                          of 1730H, 2025                      Isidro    Felipe St.    Level 2025                                   St.        Level 2025                     Dionisio   Galang St.   Level 2025                     Dionisio      St.       Level infront of SM                  Monsoon       Subsided as 1719H   JULY            infront of SM          37""     Monsoon Santos Ave.                     Southwest Infront of                     Monsoon Infront of St.                       by Tropical      22 July Aquino Ave.                      Monsoon       Subsided as infront of                    Southwest July 21,                    San      Santos Ave.   Waist Ave. St. Peter                     Southwest      Subsided as Ave                        Enchanced 1719H   JULY   Sto Niño Pascor Drive             19""    Enchanced        24 July 1719H   JULY   Sto Niño   Dalhia St.                    Enchanced        23 July 1719H   JULY   Sto Niño   Sitio Libjo            37""     Monsoon 1719H   JULY   Sto Niño J.P Rizal St.            19""    Enchanced        22 July 1719H   JULY   Vitalez    Urman Drive            37""    Enchanced        22 July 1719H   JULY   Don Galo Quirino Ave                   Enchanced       of 1100H,    14.507794910327876 2025                     Isidro    s Avenue   Level 2025                     Isidro    Niño St.     Level Infront of                   Southwest 2025                      Isidro   Pedro sT.      Level 2025                      Isidro   Felipe St.     Level Ave. Infront                   Enchanced 2025                        k         St.        Level Philip St.                   Monsoon       Subsided as 2025                     Antonio      St.        Level 0300H   JULY              Ave. cor.             37""    Enchanced       of 0900H,    14.472121248585061 2025                     Antonio       St.       Level July 22,                   BF        infront of   Knee                            of 1800H, Infront of                    Monsoon       Subsided as 2025                     Bosco      St.        Level July 22,                   Don    India St. cor Gutter                          of 2200H, 0300H   JULY               Scotland St.                   Enchanced       of 2200H,    14.484724209339607 2025                      Bosco         St.         Level July 22,                    Don        Willow St.    Knee Aquino Ave July 23,                    San      corner V. Gutter 1015H   July   Sto. Niño Pascor Drive              19""    Enchanced      Subsided as 1015H   July   Sto. Niño    Sitio Libjo            37""    Enchanced      Subsided as 1015H   July    Vitalez    Urma Drive              19""    Enchanced      Subsided as 1015H   July   Sto. Niño Pascor Drive              19""     Monsoon        of 2300H, 1015H   July   Sto. Niño   Sitio Libjo            37""    Enchanced      Subsided as 1015H   July    Vitalez    Urma Drive             19""    Enchanced      Subsided as Aquino Ave July 24,                    San      corner V.      Gutter Santos Ave. July 24,                    San      infront of     Knee Santos Ave. July 24,                    San    infront of SM    Knee Santos Ave. July 24,                    San      infront of SM     Knee Santos Ave.                     Southwest infront of                     Monsoon Santos Ave.                     Southwest infront of St.                   Monsoon Santos Ave.                      Monsoon 0500H   July                 infront of             19""    Enchanced      Subsided as Santos Ave. July 24,                    San         infront of     Knee July 24,                    San      Santos Ave.       Knee 2025                     Dionisio    infront of       Level Santos Ave. July 24,                      San      infront of     Knee Santos Ave.                       Monsoon 261                                              Ave.                       Storm Crising                24 July2025    14.475814931247912   121.0002937839069 July 24,                      San      Santos Ave.    Knee Avenue Santos Ave.                     Monsoon 2025                        Isidro    St. Valley 2   Level",2025-07-19,7,19,1270,3,"July 24,                      San      San Felipe     Waist",Monsoon,2025                     Dionisio        Sucat        Level                         Subsided as,67.0,2025.0,22.416666666666668,22.416666666666668,0.0,1,0,0,0,0,0,0,0,14.48,121.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2025                     dionisio        sucat        level                         subsided as,1
,2025-08-16,8,16,678,3,"August 16,                     San                     Gutter          Southwest      24.4 ° - 32.2 Subsided as","267     2025                       Dionisio                  Level    8""     Monsoon              °        of 1510H,    14.481873427205677   120.99623034907894",,265.0,2025.0,13.666666666666666,13.666666666666666,0.0,1,0,0,0,0,0,0,0,14.48,121.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,unknown,2
"2025                                   Sikat St.    Level          Monsoon     24.4 ° - 32.2    16 August 1415H     AUGUST   Martin De     Iba St.             19""                                             14.50424642965824    121.03893944061659 2025                                        St.      Level          Monsoon     24.4 ° - 32.2    16 August 1430H     AUGUST    Vitalez    Urma Drive            37"" 289                1550H            Antonio       St.                                         °             2025      14.47100300759739    121.02480351952313 2025                        Marcelo        St.       Level          Monsoon     24.4 ° - 32.2    16 August AUGUST                Sitio Libjo             8"" AUGUST               Urma Drive               37""   Enchanced                   of 1220H, AUGUST               Alejandro St.            8""    Enchanced                   of 1220H, 2025                                     Plaridel St. Level 301                0745H            Dionisio      Avenue                       Enchanced                   of 1110H,     14.474896061573808   121.00090889117097 0915H   AUGUST           Sitio Sunrise         19""   Enchanced      of 1423H, Ave.                    by Tropical    22 August Ave                     by Tropical    22 August 1150H   AUGUST   Baclaran    Sikat St.             8""    Enchanced      of 1351H, 1150H   AUGUST   Baclaran    Sikat St.             19""   Enchanced      of 1351H, 2025                                     St.       Level 2025                               Lipunan St.     Level                         22 August St.                      by Tropical    22 August 1300H   AUGUST              Camia St.             19""   Enchanced      of 1330H,    14.501338300802423   120.99145888489925 1300H   AUGUST               Rise St.             19""    Monsoon                    14.500735718592878   120.99353247129314 6, 2025                         k         corner      Level          Monsoon Santos Ave. infront of                                              Subsided as 1200H   September             ave. infront            19""                                   06       14.490705949199807   121.0178170979552 Santos Ave.                                               Subsided as September                       San      infront of  Knee             Southwest                   of 1630H, September                       San      Santos Ave.   Knee           Southwest Avenue 1330H   September    Vitalez   Urma Drive             37""                                   06 Santos Ave.                                             of 1700H, 1300H   September                 infront of           19""                                 06 Santos Ave.                                            Subsided as September                       San         infront of   Knee          Southwest                 of 1630H, Santos Ave.                                            Subsided as September                       San         infront of   Knee          Southwest                 of 1630H, Santos Ave.                                             of 1630H, 340                                                  Ave.                                     °C          025         14.475814931247912   121.0002937839069 September                       San     Santos Ave. Knee               Southwest                  Subsided as 6, 2025                      Dionisio infront of SM Level             Monsoon     23.5 °C - 29    of 1700H, Santos Ave.                                                Subsided as September                       San    infront of SM Knee               Southwest                   of 1700H, 1430H   September   Sto. Niño    Sitio Libjo            19""                                   06 6, 2025                                     Road        Level          Monsoon Santos Ave. infront of                                              Subsided as Santos Ave. infront of St.                                           Subsided as Santos Ave. infront of St.                                           Subsided as 1730H   September   Vitalez   Urma Drive               19"" Aquino Ave                                Subsided as September                       San      corner V.    Gutter                       of 1333H, Santos Ave.                                Subsided as September                       San      infront of   Gutter                       of 1333H, September                       San      Santos Ave. Gutter Avenue 1150H   September   Vitalez    Urma Drive            8"" 26, 2025                      Bosco     Ave. Dulo   Level Santos Ave.                 Monsoon      of 1333H, 1229H   September                infront of          8""   enchanced         26 Santos Ave.                 Monsoon      of 1333H, 372                                                 Ave.                    ""Opong""        025       14.475814931247912   121.0002937839069 September                       San      Santos Ave. Gutter Avenue Primavera                  Monsoon      of 1555H, 26, 2025                         Bosco         Street   Level 1333H      September   Sto. Niño    Sitio Libjo            19""   enchanced                    26 1333H      September           Sitio Sunrise               8""    enchanced                    26",2025-08-16,8,16,962,3,September                        Moonwal               Gutter,by Typhoon              September2,"1333H      September   Sto. Niño    Sitio Libjo            19""   enchanced                    26",2025.0,2025.0,13.666666666666666,13.666666666666666,0.0,1,1,0,0,0,0,0,0,14.48,121.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"1333h      september   sto. niño    sitio libjo            19""   enchanced                    26",0
"Diamond St.                                                 of 1535H,",2025-10-06,10,6,3817,3,"October 6,                     Moonwal     Airport   Knee            Localized",,,380.0,2025.0,15.05,15.05,0.0,1,0,0,0,0,0,0,0,14.48,121.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,unknown,2
,2022-06-15,6,15,0,0,,,,,2022.0,,,,0,0,0,0,0,0,0,0,,,0.0,35.0,27.1,76.0,2.0,80.0,31.05,7.899999999999999,naia,14.5047,121.004751,21.0,1.0,54.5,60.000000000000014,18.166666666666668,8.571428571428573,28.0,28.0,28.0,26.5,0.0,75.33333333333333,74.0,23.598000000000003,0.0,0.0,0.0,0,32.195,unknown,2
,2024-10-02,10,2,0,0,,,,,2024.0,,,,0,0,0,0,0,0,0,0,,,0.0,32.9,27.5,77.0,3.0,270.0,30.2,5.399999999999999,naia,14.5047,121.004751,21.0,1.0,1.0,11.55,0.3333333333333333,1.6500000000000001,1.0,10.5,0.0,1.0,0.0,80.0,82.0,23.254,0.0,0.0,0.0,0,31.286111111111115,unknown,2
,2021-11-20,11,20,0,0,,,,,2021.0,,,,0,0,0,0,0,0,0,0,,,5.0,30.6,25.0,82.0,2.0,180.0,27.8,5.600000000000001,naia,14.5047,121.004751,21.0,1.0,5.0,16.550000000000008,1.6666666666666667,2.364285714285715,5.0,11.5,0.0,0.0,1.0,77.33333333333333,75.0,22.796,146.9242764767005,49.81091324453993,5.0,0,28.776666666666674,unknown,2
,2023-04-13,4,13,0,0,,,,,2023.0,,,,0,0,0,0,0,0,0,0,,,66.5,27.9,23.2,92.0,3.0,260.0,25.549999999999997,4.699999999999999,naia,14.5047,121.004751,21.0,0.0,74.0,74.05,24.666666666666668,10.578571428571427,66.5,66.5,7.5,0.0,2.0,81.66666666666667,81.0,23.506,387.51573900482055,107.61986012579526,0.0,1,26.56277777777778,unknown,2
